load,Q,P,COP,tr_cw,G_cw,ts_cw,tr_chw,G_chw,ts_chw,Te,Pe,Tc,Pc,
0.614 ,1402.3 ,133.7 ,10.4882 ,16,62.6 ,21.9 ,8,76.4 ,3.6 ,2.6 ,322 ,22.4 ,616 ,
0.595 ,1359.1 ,131.7 ,10.3183 ,16,62.6 ,21.7 ,8,65.5 ,3.1 ,2.1 ,316 ,22.1 ,609 ,
0.728 ,1663.1 ,144.0 ,11.5493 ,16,62.6 ,22.9 ,10,109.2 ,6.4 ,5.2 ,352 ,23.6 ,638 ,
0.715 ,1633.6 ,142.7 ,11.4494 ,16,62.6 ,22.8 ,10,98.3 ,6.0 ,4.9 ,349 ,23.5 ,635 ,
0.699 ,1597.8 ,141.1 ,11.3200 ,16,62.6 ,22.7 ,10,87.3 ,5.7 ,4.6 ,344 ,23.3 ,632 ,
0.681 ,1556.8 ,138.0 ,11.2803 ,16,62.6 ,22.5 ,10,76.4 ,5.2 ,3.9 ,336 ,22.6 ,619 ,
0.658 ,1502.7 ,136.5 ,11.0085 ,16,62.6 ,22.3 ,10,65.5 ,4.5 ,3.4 ,331 ,22.6 ,619 ,
0.624 ,1426.8 ,134.6 ,10.6029 ,16,62.6 ,22.0 ,10,54.6 ,3.8 ,2.9 ,324 ,22.5 ,618 ,
0.799 ,1825.8 ,152.4 ,11.9835 ,16,62.6 ,23.6 ,12,109.2 ,8.0 ,6.8 ,372 ,24.3 ,652 ,
0.785 ,1793.0 ,150.5 ,11.9137 ,16,62.6 ,23.4 ,12,98.3 ,7.7 ,6.5 ,368 ,24.2 ,649 ,
0.767 ,1753.7 ,148.4 ,11.8177 ,16,62.6 ,23.3 ,12,87.3 ,7.2 ,6.1 ,363 ,24.0 ,646 ,
0.745 ,1702.3 ,144.2 ,11.8035 ,16,62.6 ,23.1 ,12,76.4 ,6.7 ,5.3 ,353 ,23.2 ,631 ,
0.723 ,1652.6 ,142.5 ,11.5944 ,16,62.6 ,22.9 ,12,65.5 ,6.0 ,4.9 ,348 ,23.2 ,630 ,
0.685 ,1565.8 ,139.8 ,11.1978 ,16,62.6 ,22.5 ,12,54.6 ,5.2 ,4.2 ,340 ,23.2 ,630 ,
0.647 ,1477.8 ,138.1 ,10.7005 ,16,62.6 ,22.2 ,12,43.7 ,4.0 ,3.7 ,334 ,23.4 ,633 ,
0.529 ,1209.8 ,136.2 ,8.8844 ,16,62.6 ,21.2 ,12,32.8 ,3.2 ,2.6 ,321 ,24.5 ,655 ,
0.558 ,1274.7 ,133.3 ,9.5648 ,16,50.1 ,22.7 ,6,109.2 ,3.2 ,2.2 ,317 ,23.2 ,630 ,
0.552 ,1262.3 ,132.7 ,9.5144 ,16,50.1 ,22.7 ,6,98.3 ,3.0 ,2.0 ,315 ,23.1 ,628 ,
0.626 ,1431.5 ,138.9 ,10.3027 ,16,50.1 ,23.5 ,8,109.2 ,4.9 ,3.8 ,335 ,24.0 ,646 ,
0.616 ,1406.9 ,138.0 ,10.1939 ,16,50.1 ,23.4 ,8,98.3 ,4.6 ,3.5 ,332 ,23.9 ,644 ,
0.603 ,1376.9 ,136.9 ,10.0582 ,16,50.1 ,23.2 ,8,87.3 ,4.3 ,3.2 ,329 ,23.7 ,640 ,
0.586 ,1340.1 ,135.6 ,9.8858 ,16,50.1 ,23.1 ,8,76.4 ,3.8 ,2.8 ,324 ,23.5 ,637 ,
0.566 ,1293.7 ,133.9 ,9.6598 ,16,50.1 ,22.8 ,8,65.5 ,3.3 ,2.4 ,319 ,23.3 ,632 ,
0.625 ,1427.8 ,137.4 ,10.3909 ,16,50.1 ,23.5 ,10,109.2 ,6.9 ,3.5 ,331 ,23.5 ,637 ,
0.683 ,1561.6 ,144.2 ,10.8268 ,16,50.1 ,24.2 ,10,98.3 ,6.2 ,5.1 ,351 ,24.7 ,660 ,
0.669 ,1528.4 ,142.8 ,10.7021 ,16,50.1 ,24.0 ,10,87.3 ,5.8 ,4.8 ,347 ,24.5 ,656 ,
0.651 ,1487.3 ,141.1 ,10.5377 ,16,50.1 ,23.8 ,10,76.4 ,5.4 ,4.4 ,342 ,24.3 ,652 ,
0.602 ,1375.2 ,135.5 ,10.1470 ,16,50.1 ,23.2 ,10,54.6 ,4.0 ,2.9 ,325 ,23.3 ,632 ,
0.570 ,1302.3 ,134.5 ,9.6822 ,16,50.1 ,22.9 ,10,43.7 ,2.9 ,2.5 ,320 ,23.4 ,635 ,
0.680 ,1553.0 ,142.9 ,10.8692 ,16,50.1 ,24.1 ,12,109.2 ,8.6 ,4.8 ,348 ,24.3 ,652 ,
0.668 ,1526.8 ,142.2 ,10.7387 ,16,50.1 ,24.0 ,12,98.3 ,8.3 ,4.6 ,345 ,24.3 ,652 ,
0.657 ,1500.4 ,141.5 ,10.6043 ,16,50.1 ,23.9 ,12,87.3 ,7.9 ,4.4 ,343 ,24.3 ,652 ,
0.716 ,1635.2 ,147.5 ,11.0828 ,16,50.1 ,24.5 ,12,76.4 ,6.9 ,5.9 ,360 ,25.1 ,668 ,
0.691 ,1578.3 ,145.0 ,10.8887 ,16,50.1 ,24.2 ,12,65.5 ,6.3 ,5.3 ,353 ,24.8 ,661 ,
0.658 ,1503.4 ,141.9 ,10.5929 ,16,50.1 ,23.9 ,12,54.6 ,5.5 ,4.5 ,344 ,24.4 ,654 ,
0.615 ,1405.7 ,138.0 ,10.1887 ,16,50.1 ,23.4 ,12,43.7 ,4.4 ,3.5 ,332 ,23.9 ,643 ,
0.516 ,1179.6 ,135.8 ,8.6876 ,16,37.6 ,24.4 ,6,109.2 ,3.4 ,2.4 ,319 ,24.5 ,655 ,
0.498 ,1137.2 ,134.9 ,8.4309 ,16,37.6 ,24.1 ,6,98.3 ,3.3 ,2.0 ,315 ,24.4 ,653 ,
0.498 ,1136.8 ,134.9 ,8.4284 ,16,37.6 ,24.1 ,6,87.3 ,2.9 ,2.0 ,315 ,24.4 ,653 ,
0.557 ,1272.5 ,140.0 ,9.0860 ,16,37.6 ,25.0 ,8,87.3 ,4.5 ,3.6 ,332 ,25.4 ,673 ,
0.543 ,1240.4 ,138.8 ,8.9344 ,16,37.6 ,24.8 ,8,76.4 ,4.1 ,3.2 ,328 ,25.2 ,668 ,
0.500 ,1141.6 ,134.8 ,8.4670 ,16,37.6 ,24.1 ,8,54.6 ,3.0 ,2.0 ,315 ,24.3 ,652 ,
0.539 ,1232.6 ,138.0 ,8.9296 ,16,37.6 ,24.7 ,10,109.2 ,7.3 ,3.0 ,326 ,24.9 ,664 ,
0.532 ,1215.3 ,137.5 ,8.8402 ,16,37.6 ,24.6 ,10,98.3 ,7.1 ,2.8 ,324 ,24.8 ,662 ,
0.509 ,1163.9 ,135.4 ,8.5993 ,16,37.6 ,24.3 ,10,65.5 ,5.8 ,2.2 ,317 ,24.4 ,654 ,
0.558 ,1275.6 ,140.2 ,9.1003 ,16,37.6 ,25.0 ,10,54.6 ,4.4 ,3.6 ,333 ,25.4 ,673 ,
0.596 ,1363.0 ,143.4 ,9.5021 ,16,37.6 ,25.6 ,12,109.2 ,9.0 ,4.5 ,344 ,25.9 ,684 ,
